Atributo,Valid_values,NoValid_values,TimeStamp
U_Codigo_Secundario,2094,15,2026-01-20
FrgnName,987,1122,2026-01-20
ItmsGrpCod,2109,0,2026-01-20
WTLiable,2109,0,2026-01-20
IndirctTax,2104,5,2026-01-20
GLMethod,2094,15,2026-01-20
EvalSystem,2109,0,2026-01-20
TaxCodeAR,2080,29,2026-01-20
PlaningSys,1852,257,2026-01-20
PricingPrc,2109,0,2026-01-20
LeadTime,0,2109,2026-01-20
ToleranDay,0,2109,2026-01-20
U_beas_prodrelease,2088,21,2026-01-20
U_beas_dispo,2109,0,2026-01-20
U_EMPA_CARACTERISTICA_TIPO,0,2109,2026-01-20
U_EMPA_CARACTERISTICA_MP,2109,0,2026-01-20
U_EMPA_ESPESOR,1616,493,2026-01-20
U_EMPA_ANCHO,1616,493,2026-01-20
ItemName,1979,130,2026-01-20
ItemType,2109,0,2026-01-20
InvntItem,2108,1,2026-01-20
SellItem,2098,11,2026-01-20
PrchseItem,2077,32,2026-01-20
PriceUnit,2109,0,2026-01-20
ItemClass,2109,0,2026-01-20
MngMethod,2109,0,2026-01-20
IWeight1,1961,148,2026-01-20
InvntryUom,1975,134,2026-01-20
DfltWH,952,1157,2026-01-20
U_beas_gruppe,2109,0,2026-01-20
U_beas_prccode,2108,1,2026-01-20
U_beas_batchroh,2109,0,2026-01-20
U_PLG_CICLE,1672,437,2026-01-20
UgpEntry,2106,3,2026-01-20
PicturName,2109,0,2026-01-20
U_EMPA_DESIDAD,1616,493,2026-01-20
