ItemCode,ItemName,U_Codigo_Secundario,FrgnName,Estado,ItemType,ItemType_Significado,ItmsGrpCod,ItmsGrpCod_Nombre,UgpEntry,InvntItem,InvntItem_Significado,SellItem,SellItem_Significado,PrchseItem,PrchseItem_Significado,PriceUnit,WTLiable,WTLiable_Significado,IndirctTax,IndirctTax_Significado,ItemClass,MngMethod,MngMethod_Significado,TaxCodeAR,GLMethod,GLMethod_Significado,EvalSystem,EvalSystem_Significado,IWeight1,InvntryUom,InvntryUom_Nombre,DfltWH,DfltWH_NombreAlmacén,PlaningSys,PlaningSys_Significado,PricingPrc,LeadTime,ToleranDay,QryGroup1,QryGroup1_Significado,QryGroup2,QryGroup2_Significado,U_beas_gruppe,U_beas_prccode,U_beas_prodrelease,U_beas_prodrelease_Significado,U_beas_batchroh,U_beas_batchroh_Significado,PicturName,U_beas_dispo,U_EMPA_ESPESOR,U_EMPA_DESIDAD,U_EMPA_ANCHO,U_PLG_CICLE,U_EMPA_CARACTERISTICA_TIPO,U_EMPA_CARACTERISTICA_MP,ItemCode_Obsolete,ItemName_Valid,Needs_I_D_Review,LotNumber,ManageBy,PicturName_Valid,Needs_Design_Graphics_Review
ARCOTI0001,-	FUNDA TERMOENCOGIBLE PEBD - 15 PULGADAS X 22 PULGADAS X 60 MICRAS - TRANSPARENTE,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,No,Y,Articulo de venta,Y,Articulo de compra,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,,UN,,UIO_PROD,,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,PEBD,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESBOBI0001,DESPERDICIO QUITO BOBINADO,,DESPERDICIO QUITO BOBINADO (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,IMPR-BOB,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESEXTR0001,DESPERDICIO QUITO EXTRUSION,,DESPERDICIO QUITO EXTRUSION (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,EXTRUS,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESGYESCONV0001,DESPERDICIO GUAYAQUIL SOPLADO CONVENCIONAL,,DESPERDICIO GUAYAQUIL SOPLADO CONVENCIONAL (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,GYE_PROD,PRODUCTO EN PROCESO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,SOPCONGY,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESGYESPET0001,DESPERDICIO GUAYAQUIL SOPLADO PET,,DESPERDICIO GUAYAQUIL SOPLADO PET (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,GYE_PROD,PRODUCTO EN PROCESO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,SOPPETGY,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,PET,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESICONV0001,DESPERDICIO QUITO INYECCION CONVENCIONAL,,DESPERDICIO QUITO INYECCION CONVENCIONAL (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,INY-CONV,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESIMPR0001,DESPERDICIO QUITO IMPRESION,,DESPERDICIO QUITO IMPRESION (ENG),Activo,I,Artículos,114,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,IMPR-BOB,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESIPET0001,DESPERDICIO QUITO INYECCION PET,,DESPERDICIO QUITO INYECCION PET (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,INY-PET,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,PET,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESISOPL0001,DESPERDICIO QUITO INYECCION SOPLADO,,DESPERDICIO QUITO INYECCION SOPLADO (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,INY-SOPL,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESREBO0001,DESPERDICIO QUITO REFILE DE BOBINADO,,DESPERDICIO QUITO REFILE DE BOBINADO (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,1000.0,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,IMPR-BOB,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESSCONV0001,DESPERDICIO QUITO SOPLADO CONVENCIONAL,,DESPERDICIO QUITO SOPLADO CONVENCIONAL (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,SOP-CONV,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESSELL0001,DESPERDICIO QUITO SELLADO,,DESPERDICIO QUITO SELLADO (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,MANU-FUN,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
DESSPET0001,DESPERDICIO QUITO SOPLADO PET,,DESPERDICIO QUITO SOPLADO PET (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,SOP-PET,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,PET,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
MERBOBI0001,MERMA QUITO BOBINADO,,MERMA QUITO BOBINADO (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,IMPR-BOB,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
MEREXTR0001,MERMA QUITO EXTRUSION,,MERMA QUITO EXTRUSION (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,EXTRUS,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
MERIMPR0001,MERMA QUITO IMPRESION,,MERMA QUITO IMPRESION (ENG),Activo,I,Artículos,114,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,IMPR-BOB,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
MERIPET0001,MERMA QUITO INYECCION PET,,MERMA QUITO INYECCION PET (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,INY-PET,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,PET,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
MERISOPL0001,MERMA QUITO INYECCION SOPLADO,,MERMA QUITO INYECCION SOPLADO (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,INY-SOPL,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
MERREBO0001,MERMA QUITO REFILE DE BOBINADO,,MERMA QUITO REFILE DE BOBINADO (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,S,Estándar,1000.0,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,IMPR-BOB,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
MERSELL0001,MERMA QUITO SELLADO,,MERMA QUITO SELLADO (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,MANU-FUN,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
MERSPET0001,MERMA QUITO SOPLADO PET,,MERMA QUITO SOPLADO PET (ENG),Activo,I,Artículos,103,PRODUCTO SEMIELABORADO,1,Y,Articulo de inventario,Y,Articulo de venta,N,No,8,Y,Sujeto a retencion de impuesto,N,No,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,,UN,KG,UIO_PROD,PRODUCTO EN RECHAZO,M,Ninguna,0,,0.0,N,No,N,No,GENERIC,SOP-PET,,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,,GENERICO,PET,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTARBC0001,CODIGO ARTICULO BASE PARA COTIZACION,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,SOP-PET,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,3.6,GENERICO,MIX,False,False,True,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTAUTO0001,BANDEJA PP NEGRA BATERIA RT50  GM 52049144,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,PRODUCTO TERMINADO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,INY-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,30.0,GENERICO,PP,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
