atributo,valor,conteo
ItemName,FUNDA PEBD  24” X 36” X 35 MC COLOR NEGRO BASURA,3
ItemName,ENVASE PEAD 4 LT TRANSPARENTE,2
ItemName,ENVASE PET 6 LT CRISTAL 48,2
ItemName,ENVASE PET 500 CC CRISTAL SPORT 1881,2
ItemName,DESPERDICIO QUITO IMPRESION,1
ItemName,DESPERDICIO QUITO INYECCION PET,1
ItemName,TAPA PP DORADO 90 GR GEL EGO ENYA,1
ItemName,BASE EMBLEMA PP NEGRO GM 52102909,1
ItemName,TAPA FLIP TOP MIX ERWES VERDE DANEC,1
ItemName,TAPA FLIP TOP MIX ERWES DORADA DANEC,1
ItemName,DESPERDICIO QUITO INYECCION SOPLADO,1
ItemName,TAPA PUSH PULL 28-400 NATURAL,1
ItemName,DESPERDICIO GUAYAQUIL SOPLADO PET,1
ItemName,TAPA REPOSTERO PP VERDE AGUACATE 125 GR INMOLD,1
ItemName,TAPA REPOSTERO PP VERDE AGUACATE 250 GR INMOLD,1
ItemName,TAPA REPOSTERO PP VERDE  125 GR INMOLD,1
ItemName,TAPA REPOSTERO PP AZUL  125 GR INMOLD,1
ItemName,TAPA PEAD 48 MM VERDE 13 A,1
ItemName,TAPA BIDON MIX CON SEGURO  NEGRA,1
ItemName,SOBRETAPA PP AZUL BALBOA,1
ItemName,TAPA BALDE MIX BEIGE,1
ItemName,TAPA PEAD 48 MM NEGRA,1
ItemName,TAPA PEAD P 28 MM 1881 NEGRA,1
ItemName,TAPA BALDE MIX AZUL GENERICA,1
ItemName,TAPA PEAD 43 MM ROJA GENERICA,1
ItemName,TAPA FLIP TOP ERWES AMARILLA DANEC,1
ItemName,TAPA FLIP TOP MIX ERWES AZUL DANEC,1
ItemName,DESPERDICIO QUITO BOBINADO,1
ItemName,BALDE MIX 3 KG AMARILLO,1
ItemName,BALDE MIX 3 KG ROJO,1
ItemName,BALDE MIX 3 KG BLANCO,1
ItemName,BALDE MIX 3 KG TOMATE,1
ItemName,BALDE MIX 3 KG NATURAL,1
ItemName,BALDE MIX 3 KG BLANCO DEX,1
ItemName,ENVASE PEAD 370 CC SQUEEZE MAYONESA EL SABOR,1
ItemName,ENVASE PEAD 370 CC SQUEEZE MOSTAZA EL SABOR,1
ItemName,ENVASE PEAD 370 CC SQUEEZE SALSA DE TOMATE EL SABOR,1
ItemName,ENVASE PEAD NATURAL 1 LT LA POLACA,1
ItemName,ENVASE PEAD 1 LT NATURAL CUADRADO,1
ItemName,ENVASE PEAD 2 LT  NATURAL  REDONDO,1
ItemName,ENVASE PEAD 3.785 LT NATURAL,1
ItemName,ENVASE PEAD 4 LT AMARILLO DANEC,1
ItemName,ENVASE PEAD 10 LT AMARILLO RECTANGULAR,1
ItemName,ENVASE PEAD 20 LT AMARILLO RECTANGULAR GENE,1
ItemName,ENVASE PEAD 1LT NATURAL AVON  L1513800,1
ItemName,ENVASE PEAD 3.875 LT NATURAL  FRUTILLA LENUTRIT,1
ItemName,ENVASE PEAD 3.875 LT NATURAL  MORA LENUTRIT,1
ItemName,ENVASE PEAD 3.875 LT NATURAL DURAZNO LENUTRIT,1
ItemName,ENVASE PEAD 370 CC SQUEEZE SALSA BBQ EL SABOR,1
ItemName,ENVASE PEAD NATURAL 500 CC  LA POLACA,1
ItemName,ENVASE PEAD 2 LT AMARILLO CRISCO DANEC,1
ItemName,ENVASE PEAD 550 ML  BEIGE KERA SAV 31102462,1
ItemName,ENVASE PEAD 550 ML BLANCO SH BIO SAV 10000193,1
ItemName,ENVASE PEAD 20 LT AMARILLO RECTANGULAR,1
ItemName,ENVASE PEAD 1LT BLANCO CLORO SANSON,1
ItemName,ENVASE PEAD 3.875 LT NATURAL POLACA,1
ItemName,ENVASE PEAD 4 LT BLANCO CLORO SANSON,1
ItemName,ENVASE PEAD 550 ML VERDE SH AGUA SAV 31101080,1
ItemName,ENVASE PEAD 550 ML DORADO PLACEN SAV 31101079,1
ItemName,ENVASE PEAD 180 CC BLANCO ECOPACIFIC,1
ItemName,ENVASE PEAD 1 LT BLANCO ECOPACIFIC,1
ItemName,ENVASE PEAD 550 ML  VIOLETA COLAG  FONT SAV 10000930,1
ItemName,ENVASE PEAD 370 CC NATURAL,1
ItemName,ENVASE PEAD 3.875 LT NATURAL  FRUTILLA VENTURA,1
ItemName,ENVASE PEAD 3.875 LT NATURAL  MORA VENTURA,1
ItemName,ENVASE PEAD 3.875 LT NATURAL DURAZNO VENTURA,1
ItemName,ENVASE PEAD 350 CC NATURAL CUELLO 38 MM,1
ItemName,ENVASE PEAD 3.785 LT  NATURAL LIVIANO,1
ItemName,ENVASE PEAD 1 LT BLANCO AF,1
ItemName,ENVASE PEAD 1 LITRO NATURAL REDONDO 1881,1
ItemName,ENVASE PEAD 20 LITROS RECTANGULAR BLANCO 980 G,1
ItemName,ENVASE PEAD 1 LT NATURAL CILINDRICO 1881,1
ItemName,ENVASE PEAD 4 LT CUADRADO  BLANCO GENERICO,1
ItemName,ENVASE PEAD 1 LITRO BLANCO REDONDO 1881,1
ItemName,ENVASE PEAD 10 LT BLANCO  RECTANGULAR,1
ItemName,ENVASE PEAD 200 CC NATURAL ORIENTAL,1
ItemName,ENVASE PEAD 1 LT  BLANCO  CUELLO 1881  DESINFECTANTE,1
ItemName,ENVASE PEAD 250 CC BLANCO GENERICO 1881,1
ItemName,ENVASE PEAD 500 CC BLANCO GENERICO 1881,1
ItemName,ENVASE PEAD 2 LT  BLANCO  REDONDO,1
ItemName,ENVASE PEAD 3.5KG CHIVERIA,1
ItemName,ENVASE PEAD 500 CC  BLANCO CLORO SANSON,1
ItemName,ENVASE PEAD 200 CC  NATURAL ANDINA,1
ItemName,ENVASE PEAD 190 CC  YOGURT FAME,1
ItemName,ENVASE PEAD 950 CC  YOGURT FAME,1
ItemName,ENVASE PEAD 1700 CC BLANCO FAME,1
ItemName,ENVASE PEAD 3.5 KG CHIVERIA BLANCO,1
ItemName,ENVASE PEAD 3.785 LT NATURAL GYE,1
ItemName,ENVASE PEAD 3.785 LT NATURAL LIVIANO 80GR,1
ItemName,ENVASE PEAD 3.785 LT NATURAL 140 G.,1
ItemName,ENVASE PEAD 200 CC NATURAL ORIENTAL 6 CAV.,1
ItemName,ENVASE PEAD 4LT CUADRADO OK15,1
ItemName,ENVASE PEAD 300 G YOGURT,1
ItemName,ENVASE PEAD 300 ML AVENA,1
ItemName,ENVASE PEAD 4 LT PCR,1
ItemName,ENVASE PEAD 4 LT REDONDO BLANCO CON ASA 85 G,1
ItemName,ENVASE PEAD 4 LT REDONDO NATURAL CON ASA 85 G,1
ItemName,ENVASE PEAD 4 LT REDONDO BLANCO CON ASA 120 G,1
ItemName,ENVASE PEAD 4 LT REDONDO NATURAL CON ASA 120 G,1
ItemName,ENVASE PEAD 3.785 LT NATURAL 76 GR GYE,1
ItemName,ENVASE PEAD 1LT CLORO SANSON BLANCO CILÍNDRICO 1816,1
ItemName,ENVASE PEAD 20 LT AMARILLO ALTERNO 930 GR.,1
ItemName,ENVASE PEAD 1LT CUIDADO PERSONAL 1816 UIO,1
ItemName,ENVASE PEAD 330 G NATURAL CHOKONO,1
ItemName,ENVASE PEAD 5LT NATURAL RECTANGULAR 43 MM,1
ItemName,ENVASE PEAD 5LT BLANCO RECTANGULAR 43 MM,1
ItemName,ENVASE PEAD 500 ML CLORO SANSON BLANCO CILÍNDRICO 1816,1
ItemName,ENVASE PEAD 3.820 ML GENÉRICO SALSAS 2 CAV.,1
ItemName,ENVASE PEAD 3.785 LT NATURAL GYE G,1
ItemName,ENVASE PEAD 3.8 LT NATURAL 105 GYE,1
ItemName,ENVASE PEAD 20 LT AMARILLO ALTERNO 1100 GR.,1
ItemName,ENVASE PEAD 500 CC NATURAL LA POLACA EXPORTACION,1
ItemName,ENVASE PET 250 CC. CRISTAL PETALOIDE,1
ItemName,ENVASE PET 300 CC. CRISTAL TERRAFERTIL 38,1
ItemName,ENVASE PET 300 CC CRISTAL SKUISI 38,1
ItemName,ENVASE PET 350 CC VERDE RESGASA 1881,1
ItemName,ENVASE PET 360 CC CRISTAL MIEL SCHULLO 1816,1
ItemName,ENVASE PET 500 CC CRISTAL  CUELLO DE GANZO 1816,1
ItemName,ENVASE PET 500 CC CRISTAL DANEC ERWES,1
ItemName,ENVASE PET 500 CC CRISTAL SPORT 1816,1
ItemName,ENVASE PET 1 LT CRISTAL VIVI DANEC ERWES,1
ItemName,ENVASE PET 1.5 LT CRISTAL 1816,1
ItemName,ENVASE PET 1.5 SAN FELIPE CON GAS,1
ItemName,ENVASE PET 1.8 LT CRISTAL DANEC 1816,1
ItemName,ENVASE PET 2 LT CRISTAL  PETALOIDE 1816,1
ItemName,ENVASE PET 2 LT CRISTAL DANEC 1816,1
